rms_norm,crest_factor,kurtosis,temperature_delta,label
3.8871,7.7509,14.7044,19.79,Danger
1.0282,3.0267,3.6244,2.26,Healthy
0.8180,2.8322,2.9561,2.81,Healthy
4.5967,7.9949,9.1731,39.59,Danger
1.0731,2.8555,2.6089,0.80,Healthy
2.5360,4.5632,6.5482,19.33,Degraded
1.9692,3.9473,8.7015,13.98,Degraded
4.4600,6.9461,7.8415,34.87,Danger
1.7603,3.9915,7.6659,15.91,Degraded
0.9363,2.9856,3.0797,2.55,Healthy
2.4457,5.5464,6.6735,10.61,Degraded
0.9404,2.1497,2.8034,2.36,Healthy
1.0317,3.3190,2.7181,2.59,Healthy
1.1377,3.2913,2.7181,0.00,Healthy
0.9273,2.8142,3.1159,4.03,Healthy
1.0363,2.8443,2.9729,0.95,Healthy
0.8455,3.2425,2.3700,2.85,Healthy
0.7359,2.7555,2.7297,1.95,Healthy
3.9353,6.2891,10.6342,15.00,Danger
3.0000,6.7507,7.4998,32.12,Danger
1.0760,2.8640,2.1580,2.83,Healthy
1.2156,3.4987,2.9373,2.91,Healthy
2.3141,4.1839,6.8127,9.08,Degraded
0.8494,2.6236,3.4400,1.59,Healthy
0.9545,2.6186,2.9787,1.44,Healthy
0.9986,3.0055,2.9604,0.00,Healthy
1.2401,2.7008,2.3553,0.00,Healthy
1.4993,4.5058,4.9192,9.21,Degraded
0.7044,3.1486,2.8620,2.14,Healthy
0.9706,3.0024,2.8638,1.72,Healthy
1.1088,3.1940,2.8585,1.90,Healthy
2.2655,4.5646,6.9166,15.60,Degraded
1.9597,5.3120,5.5248,11.62,Degraded
0.7165,3.3540,2.7922,2.48,Healthy
0.8268,2.7443,2.5256,2.27,Healthy
2.3154,4.2388,3.5000,17.63,Degraded
3.0000,9.2818,13.0999,25.38,Danger
0.9152,3.2554,2.7647,2.89,Healthy
0.9516,2.7750,3.2679,1.24,Healthy
0.9421,3.2836,3.6226,2.48,Healthy
1.8355,3.6446,5.2843,20.24,Degraded
2.5313,4.2099,7.3344,8.67,Degraded
1.0716,3.3589,3.0282,2.03,Healthy
1.6127,4.2270,4.1675,10.78,Degraded
0.9511,3.7275,3.2003,1.47,Healthy
5.9018,7.7308,9.9541,30.00,Danger
0.9284,2.6995,2.4241,2.87,Healthy
2.4921,4.5086,5.6614,7.99,Degraded
5.3408,7.7866,10.9757,26.50,Danger
1.1377,3.1124,2.3117,4.22,Healthy
1.5471,3.6797,6.1960,5.90,Degraded
0.9568,2.9355,2.2330,1.02,Healthy
4.5502,6.9336,10.1770,32.79,Danger
1.0379,3.2364,3.3622,0.73,Healthy
1.6110,5.0462,3.9881,11.81,Degraded
3.0283,4.5843,4.0478,14.51,Degraded
3.0987,7.1040,14.0960,22.54,Danger
1.6741,4.8055,4.6846,13.24,Degraded
1.1178,3.1945,3.2635,2.18,Healthy
0.9456,3.4245,2.6580,1.82,Healthy
0.9044,3.0905,2.9993,3.08,Healthy
2.2456,3.8682,6.1181,7.03,Degraded
6.2092,7.4802,10.0601,15.13,Danger
0.9000,3.1590,3.2026,3.69,Healthy
1.0686,3.4322,3.3911,0.00,Healthy
2.7156,5.4389,3.5000,14.87,Degraded
0.7858,3.4630,3.0531,0.58,Healthy
1.0802,2.6027,2.6748,0.38,Healthy
2.6874,3.9577,6.3451,12.58,Degraded
1.0790,2.6769,2.6327,2.10,Healthy
4.1298,8.1784,9.1978,31.63,Danger
2.2593,4.2729,6.5377,4.12,Degraded
0.9675,3.1362,3.3699,3.40,Healthy
0.9914,2.6056,2.3892,1.73,Healthy
1.1328,2.9905,2.4406,0.00,Healthy
0.9403,2.9479,3.8801,0.00,Healthy
2.2213,4.0281,5.0630,14.14,Degraded
2.3336,4.8663,6.2150,15.88,Degraded
1.0954,2.4798,3.0693,5.29,Healthy
0.9549,2.9704,2.7453,2.52,Healthy
1.0081,2.7930,2.9368,3.52,Healthy
0.9358,2.9736,2.3621,0.00,Healthy
2.0138,4.4324,8.0693,21.83,Degraded
0.9138,3.0925,3.5920,0.00,Healthy
1.0318,3.1669,3.3521,0.45,Healthy
0.8996,2.9754,3.4442,0.18,Healthy
0.9818,2.9436,3.0313,1.21,Healthy
1.1945,2.7372,2.7243,1.25,Healthy
3.7571,6.7885,16.5776,28.66,Danger
0.9537,2.8534,3.0739,1.05,Healthy
1.9493,4.4936,4.1914,14.94,Degraded
1.0322,2.8917,2.5318,0.48,Healthy
1.1500,3.3547,3.1315,1.05,Healthy
5.8268,9.5595,9.9564,27.26,Danger
4.5171,7.8622,13.0221,18.02,Danger
3.0000,6.6588,8.6838,17.53,Danger
0.9717,2.4808,3.3309,0.11,Healthy
1.0153,3.2763,2.5264,3.52,Healthy
1.0458,3.0913,3.3879,0.54,Healthy
2.6072,4.9541,6.8572,15.98,Degraded
0.8292,2.6958,3.0268,0.95,Healthy
6.8619,5.8979,13.3392,28.90,Danger
0.9548,2.7933,2.4960,3.35,Healthy
2.1218,3.8957,4.3997,12.24,Degraded
0.9188,3.2265,2.8190,1.32,Healthy
1.1692,2.7688,3.1224,0.87,Healthy
2.1494,4.5031,6.9783,15.09,Degraded
0.9768,3.0196,2.8923,3.48,Healthy
1.0881,3.3765,2.4520,2.16,Healthy
0.8947,2.8363,2.9664,0.00,Healthy
1.0234,3.0774,2.8080,0.72,Healthy
1.7088,4.8942,4.4522,7.68,Degraded
0.9440,2.6757,2.5076,1.39,Healthy
1.1121,2.6617,3.0781,0.08,Healthy
1.1271,3.2470,3.4132,2.49,Healthy
2.1990,3.5792,5.3001,7.99,Degraded
2.4288,4.3254,5.3952,12.67,Degraded
2.3265,5.0301,4.1025,12.44,Degraded
4.9480,7.8361,8.6231,25.93,Danger
1.0187,3.2259,3.0935,0.04,Healthy
1.9150,5.3924,4.3940,8.72,Degraded
0.9334,3.0426,2.9894,0.98,Healthy
1.0451,2.7408,3.3355,3.17,Healthy
0.9861,3.1664,3.4676,2.54,Healthy
1.1249,2.4554,3.0261,3.91,Healthy
1.8309,4.3978,5.2112,13.08,Degraded
4.6107,7.0795,8.8633,32.40,Danger
1.0536,2.4365,3.1373,1.37,Healthy
0.8907,3.4864,2.8541,0.88,Healthy
0.8715,2.9849,2.9903,3.99,Healthy
0.8271,2.8181,2.4206,2.60,Healthy
1.0305,2.8195,2.4613,1.35,Healthy
1.0664,3.3803,2.2530,1.36,Healthy
5.6526,8.5186,13.5810,22.53,Danger
3.3503,6.7782,11.4156,30.86,Danger
1.0336,3.4973,3.1925,3.38,Healthy
5.2681,5.6812,14.1552,31.79,Danger
1.1153,2.7314,2.7446,2.02,Healthy
1.1757,2.9409,2.9218,1.31,Healthy
2.7811,3.9051,5.3125,12.56,Degraded
1.0817,2.9033,2.8753,0.96,Healthy
0.9198,3.0410,3.0071,2.30,Healthy
0.9704,3.3721,2.9956,4.60,Healthy
0.9919,2.6901,2.6721,1.37,Healthy
0.8842,2.8437,2.4625,1.01,Healthy
3.0000,5.0000,7.0404,15.10,Danger
1.0117,3.4949,2.4675,1.52,Healthy
0.8371,3.0043,2.0995,2.52,Healthy
1.0458,2.9364,2.6686,0.89,Healthy
0.7614,3.0478,2.8250,0.21,Healthy
5.1201,5.1088,11.8794,33.46,Danger
1.0586,2.9578,2.5979,2.20,Healthy
0.9378,3.3018,2.9028,1.36,Healthy
1.0163,2.7675,3.1633,2.25,Healthy
1.8820,4.2885,5.7159,13.52,Degraded
2.3634,5.1840,3.5000,12.86,Degraded
1.0168,3.9681,3.3094,3.52,Healthy
4.7777,5.4399,12.0606,35.12,Danger
0.9696,2.8769,3.6552,1.36,Healthy
1.2013,2.4609,2.8424,2.91,Healthy
2.1496,4.3177,6.1217,11.61,Degraded
1.1077,3.5671,3.3501,1.22,Healthy
0.8130,3.4389,3.3117,1.01,Healthy
1.0183,3.1431,3.0978,0.75,Healthy
0.9835,3.1256,4.0569,2.08,Healthy
5.5261,7.5532,11.6699,25.17,Danger
0.8975,2.7017,3.0482,0.34,Healthy
0.8730,2.7436,2.9320,2.24,Healthy
0.9246,3.1622,2.4206,0.00,Healthy
1.0143,3.1183,2.6779,2.67,Healthy
1.0367,3.4325,3.1733,4.14,Healthy
2.5237,4.7022,8.2843,11.07,Degraded
1.1641,3.3284,2.5648,2.64,Healthy
0.8500,2.8800,3.4161,0.00,Healthy
0.7137,3.3697,2.7560,1.23,Healthy
1.8114,5.2444,4.8185,9.13,Degraded
0.9592,3.2847,3.3686,2.76,Healthy
1.0900,2.4424,3.4024,2.25,Healthy
1.7454,3.1939,5.7493,5.09,Degraded
5.1818,8.5749,16.9448,15.00,Danger
2.5174,4.6524,5.2957,15.10,Degraded
1.0196,2.8226,2.3916,1.55,Healthy
1.9208,4.3138,7.1756,17.56,Degraded
0.9212,2.9671,2.8129,1.37,Healthy
1.0322,2.9007,2.7145,3.31,Healthy
0.9282,3.3917,2.4926,4.36,Healthy
0.9737,3.3193,2.3031,3.22,Healthy
0.9027,2.8788,3.2389,2.37,Healthy
4.2542,6.0078,13.8983,42.79,Danger
2.1035,5.1408,6.5461,4.24,Degraded
1.5010,4.4541,3.5000,7.29,Degraded
0.9839,3.1784,3.3755,2.99,Healthy
0.9731,2.7336,3.1153,3.88,Healthy
1.0134,2.8836,3.1667,1.82,Healthy
3.0889,10.0874,11.7917,36.93,Danger
2.1999,4.6556,6.4731,4.78,Degraded
0.9668,2.8410,2.2822,1.33,Healthy
1.3414,3.0121,2.2749,3.00,Healthy
1.0028,2.8825,2.0000,3.36,Healthy
3.9557,8.6241,11.2155,36.18,Danger
5.4903,5.6598,11.5515,38.91,Danger
1.1041,2.7613,3.3369,2.26,Healthy
0.8840,2.9543,2.8727,1.87,Healthy
2.3286,4.5384,5.8117,15.31,Degraded
5.2640,8.2277,7.7302,30.78,Danger
1.0408,3.0640,3.1301,3.00,Healthy
1.0048,2.9419,2.7321,3.15,Healthy
3.8048,6.5958,11.2053,47.24,Danger
2.5953,3.1964,5.6587,6.76,Degraded
4.3706,7.2168,10.2541,44.43,Danger
1.1192,3.1621,2.5705,1.94,Healthy
3.0000,5.0000,9.2727,21.67,Danger
0.8939,2.7213,3.3766,2.95,Healthy
1.7137,4.4357,6.7928,8.32,Degraded
1.7890,3.2851,3.5000,6.73,Degraded
0.9456,3.2783,3.2740,0.00,Healthy
2.6263,4.7571,6.1912,15.24,Degraded
4.5830,6.7918,11.3194,22.71,Danger
0.9356,3.3115,3.3844,3.76,Healthy
2.3960,5.1082,6.3510,4.96,Degraded
1.0651,3.1066,3.0070,3.40,Healthy
0.7975,3.1448,3.0396,0.76,Healthy
2.6013,5.1068,6.0600,9.09,Degraded
0.9639,2.8939,2.8032,2.08,Healthy
1.9051,5.1007,4.6272,13.91,Degraded
3.0097,4.1110,5.4661,7.34,Degraded
0.9101,3.1255,2.6160,3.09,Healthy
0.9109,2.9448,2.7555,3.42,Healthy
0.9259,3.6879,3.4537,4.56,Healthy
2.6735,4.0243,6.9775,5.27,Degraded
0.8281,3.6116,3.3062,0.24,Healthy
3.0428,4.3897,7.1282,11.94,Degraded
0.8522,2.7002,2.7503,0.00,Healthy
0.9925,3.4708,3.6159,0.79,Healthy
2.7411,4.5180,6.3720,6.18,Degraded
1.1297,3.1675,3.1262,2.28,Healthy
5.4347,9.3143,11.8130,23.25,Danger
0.9626,3.5209,3.4272,1.82,Healthy
4.5607,5.5216,16.5450,26.70,Danger
1.7516,5.0410,6.4717,14.09,Degraded
3.0998,4.8510,5.3062,4.00,Degraded
2.0230,3.8189,6.0970,6.07,Degraded
0.9191,3.0056,3.3718,4.37,Healthy
3.3292,5.0878,4.7754,8.61,Degraded
1.0287,3.1121,2.6511,2.14,Healthy
0.8485,2.8036,3.2404,1.07,Healthy
0.9857,3.0437,2.6948,2.83,Healthy
0.9791,2.6099,3.3251,2.09,Healthy
4.6362,9.2976,16.1335,21.25,Danger
1.0397,2.8640,2.6878,0.85,Healthy
4.2246,5.6694,8.5398,31.34,Danger
2.4446,4.7232,5.3145,16.07,Degraded
0.8182,3.1952,2.8839,3.05,Healthy
1.1322,2.7403,2.7412,2.61,Healthy
1.0176,3.5936,2.7475,0.00,Healthy
2.4299,4.5784,5.3635,8.43,Degraded
4.7376,5.8458,9.7763,23.37,Danger
0.9478,3.0903,3.0232,3.44,Healthy
1.0067,2.9163,3.4173,4.37,Healthy
3.0000,7.8470,8.3286,31.35,Danger
0.9578,3.1621,2.7851,0.00,Healthy
1.0223,2.9617,3.0522,1.55,Healthy
1.8501,4.5332,4.5208,11.95,Degraded
3.4182,4.4029,3.8039,15.13,Degraded
1.9826,4.5768,4.1704,4.00,Degraded
0.9366,3.2297,3.1341,0.00,Healthy
0.8416,3.4323,2.9174,2.24,Healthy
1.1308,3.2608,3.0739,0.00,Healthy
0.8745,2.9360,3.4025,2.94,Healthy
1.0192,3.0572,2.6692,1.81,Healthy
0.8776,2.9683,2.4381,1.50,Healthy
1.0751,2.8937,2.7433,3.14,Healthy
0.9655,2.7917,2.8432,2.08,Healthy
0.8812,2.9189,3.5246,1.92,Healthy
0.9920,3.3137,2.8053,3.41,Healthy
1.1250,3.4042,2.5684,1.32,Healthy
2.2897,3.8513,6.1967,12.74,Degraded
0.9788,3.1473,3.4390,1.13,Healthy
1.0351,3.0230,3.4501,2.91,Healthy
4.3636,8.2661,9.5397,29.93,Danger
3.3306,9.4068,14.5278,35.07,Danger
1.8630,4.1319,6.6412,11.89,Degraded
1.0099,3.3393,2.5662,4.42,Healthy
2.6662,3.8670,5.8516,11.31,Degraded
1.0509,3.5533,2.6056,1.14,Healthy
0.9533,3.0097,2.9911,1.71,Healthy
0.8929,3.2518,2.1987,2.38,Healthy
0.8535,2.7656,3.5630,2.32,Healthy
0.9293,3.2519,3.2485,4.37,Healthy
